<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ABC,20180208,12.4308,12.5954,12.4308,12.4308,12800,15.1000,15.3000,15.1000,15.1000,0,0,0
ABC,20180207,12.3485,12.6778,12.3485,12.4308,16500,15.0000,15.4000,15.0000,15.1000,0,0,0
ABC,20180206,12.8424,12.8424,11.6899,12.6778,83800,15.6000,15.6000,14.2000,15.4000,0,0,0
ABC,20180205,12.5131,13.0071,12.5131,12.9247,61565,15.2000,15.8000,15.2000,15.7000,0,0,0
ABC,20180202,12.1015,12.5954,12.1015,12.3485,9000,14.7000,15.3000,14.7000,15.0000,0,0,0
ABC,20180201,12.5954,12.5954,11.5252,12.1838,32900,15.3000,15.3000,14.0000,14.8000,0,0,0
ABC,20180131,12.7601,12.7601,12.5131,12.5131,7710,15.5000,15.5000,15.2000,15.2000,0,0,0
ABC,20180130,12.7601,13.5010,12.7601,13.0894,5600,15.5000,16.4000,15.5000,15.9000,0,0,0
ABC,20180129,12.4308,12.8424,12.0192,12.7601,46300,15.1000,15.6000,14.6000,15.5000,0,0,0
ABC,20180126,13.0894,13.0894,12.3485,12.6778,23040,15.9000,15.9000,15.0000,15.4000,0,0,0
ABC,20180125,13.9950,13.9950,13.0894,13.0894,17500,17.0000,17.0000,15.9000,15.9000,0,0,0
ABC,20180124,13.2541,14.2419,13.2541,14.1596,52000,16.1000,17.3000,16.1000,17.2000,0,0,0
ABC,20180123,13.0070,13.9949,12.9247,13.4187,30509,15.8000,17.0000,15.7000,16.3000,0,0,0
ABC,20180122,12.5954,12.8424,12.5954,12.8424,27159,15.3000,15.6000,15.3000,15.6000,0,0,0
ABC,20180119,12.5131,12.5954,12.1015,12.1015,8539,15.2000,15.3000,14.7000,14.7000,0,0,0
ABC,20180117,12.5954,12.5954,12.4308,12.4308,11100,15.3000,15.3000,15.1000,15.1000,0,0,0
ABC,20180116,12.5131,12.9247,12.3485,12.5954,13934,15.2000,15.7000,15.0000,15.3000,0,0,0
ABC,20180115,12.3485,12.5131,12.3485,12.5131,20600,15.0000,15.2000,15.0000,15.2000,0,0,0
ABC,20180112,12.3485,12.3485,12.1016,12.1015,3500,15.0000,15.0000,14.7000,14.7000,0,0,0
ABC,20180111,12.1839,12.5131,12.1839,12.2662,14200,14.8000,15.2000,14.8000,14.9000,0,0,0
ABC,20180110,12.1838,12.5954,12.1838,12.3485,25950,14.8000,15.3000,14.8000,15.0000,0,0,0
ABC,20180109,12.1015,12.2662,12.1015,12.1838,7400,14.7000,14.9000,14.7000,14.8000,0,0,0
ABC,20180108,12.0192,12.1839,12.0192,12.0192,23630,14.6000,14.8000,14.6000,14.6000,0,0,0
ABC,20180105,12.1015,12.1015,11.9369,11.9369,7900,14.7000,14.7000,14.5000,14.5000,0,0,0
ABC,20180104,12.0192,12.1015,11.9369,12.0192,19410,14.6000,14.7000,14.5000,14.6000,0,0,0
ABC,20180103,12.2661,12.2661,11.9368,12.0192,18600,14.9000,14.9000,14.5000,14.6000,0,0,0
ABC,20180102,12.5131,12.5131,12.1838,12.1838,2600,15.2000,15.2000,14.8000,14.8000,0,0,0
ABC,20171229,12.3485,12.3485,12.1839,12.1838,1900,15.0000,15.0000,14.8000,14.8000,0,0,0
ABC,20171228,12.5131,12.5955,12.2662,12.2662,12240,15.2000,15.3000,14.9000,14.9000,0,0,0
ABC,20171227,12.5131,12.5131,12.3485,12.3485,2210,15.2000,15.2000,15.0000,15.0000,0,0,0
ABC,20171226,12.5955,12.5955,12.3485,12.4308,11700,15.3000,15.3000,15.0000,15.1000,0,0,0
ABC,20171225,12.3485,12.5955,12.2662,12.3485,11302,15.0000,15.3000,14.9000,15.0000,0,0,0
ABC,20171222,12.4308,12.4308,12.1839,12.3485,20300,15.1000,15.1000,14.8000,15.0000,0,0,0
ABC,20171221,12.3485,12.4308,12.3485,12.3485,13700,15.0000,15.1000,15.0000,15.0000,0,0,0
ABC,20171220,12.3485,12.7601,12.3485,12.7601,26300,15.0000,15.5000,15.0000,15.5000,0,0,0
ABC,20171219,12.9248,13.0071,12.4308,12.4308,5600,15.7000,15.8000,15.1000,15.1000,0,0,0
ABC,20171218,12.7601,12.7601,12.3485,12.6778,8300,15.5000,15.5000,15.0000,15.4000,0,0,0
ABC,20171215,12.4308,12.8424,12.4308,12.7601,6100,15.1000,15.6000,15.1000,15.5000,0,0,0
ABC,20171214,12.6778,12.7601,12.0192,12.5131,10700,15.4000,15.5000,14.6000,15.2000,0,0,0
ABC,20171213,12.6778,12.6778,11.6076,12.6778,17020,15.4000,15.4000,14.1000,15.4000,0,0,0
ABC,20171212,12.5955,12.7601,12.5955,12.6778,7550,15.3000,15.5000,15.3000,15.4000,0,0,0
ABC,20171211,12.8424,12.9247,12.6777,12.6778,6400,15.6000,15.7000,15.4000,15.4000,0,0,0
ABC,20171208,12.8424,12.9247,12.8424,12.9247,6400,15.6000,15.7000,15.6000,15.7000,0,0,0
ABC,20171207,13.1717,13.1717,12.9247,12.9247,9119,16.0000,16.0000,15.7000,15.7000,0,0,0
ABC,20171206,13.1717,13.3363,13.1717,13.1717,17014,16.0000,16.2000,16.0000,16.0000,0,0,0
ABC,20171205,13.0894,13.1717,13.0071,13.1717,10800,15.9000,16.0000,15.8000,16.0000,0,0,0
ABC,20171204,13.1717,13.5833,13.0894,13.0894,8721,16.0000,16.5000,15.9000,15.9000,0,0,0
ABC,20171201,13.0071,13.2540,13.0071,13.2540,26900,15.8000,16.1000,15.8000,16.1000,0,0,0
