<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HBD,20101223,3.5817,3.5817,3.4335,3.4335,900,14.5000,14.5000,13.9000,13.9000,0,0,0
HBD,20101222,3.4335,3.4335,3.3100,3.4335,4400,13.9000,13.9000,13.4000,13.9000,0,0,0
HBD,20101221,3.4335,3.4335,3.4335,3.4335,100,13.9000,13.9000,13.9000,13.9000,0,0,0
HBD,20101217,3.6558,3.6558,3.6558,3.6558,100,14.8000,14.8000,14.8000,14.8000,0,0,0
HBD,20101215,3.7546,3.7546,3.7052,3.7052,600,15.2000,15.2000,15.0000,15.0000,0,0,0
HBD,20101214,3.7546,3.7546,3.7052,3.7052,3400,15.2000,15.2000,15.0000,15.0000,0,0,0
HBD,20101213,3.7299,3.8040,3.7299,3.7793,4000,15.1000,15.4000,15.1000,15.3000,0,0,0
HBD,20101210,3.7793,3.7793,3.5817,3.5817,3000,15.3000,15.3000,14.5000,14.5000,0,0,0
HBD,20101209,3.8287,3.8287,3.7793,3.7793,20100,15.5000,15.5000,15.3000,15.3000,0,0,0
HBD,20101208,4.0757,4.1251,3.8287,4.1251,1700,16.5000,16.7000,15.5000,16.7000,0,0,0
HBD,20101207,3.8287,3.8781,3.8287,3.8781,1700,15.5000,15.7000,15.5000,15.7000,0,0,0
HBD,20101206,3.6311,3.6311,3.6311,3.6311,400,14.7000,14.7000,14.7000,14.7000,0,0,0
HBD,20101203,3.8781,3.8781,3.3841,3.3841,76600,15.7000,15.7000,13.7000,13.7000,0,0,0
HBD,20101202,3.6311,3.6311,3.6311,3.6311,100,14.7000,14.7000,14.7000,14.7000,0,0,0
HBD,20101130,3.8287,4.0016,3.8287,3.8781,5200,15.5000,16.2000,15.5000,15.7000,0,0,0
HBD,20101125,3.7546,3.7546,3.7546,3.7546,600,15.2000,15.2000,15.2000,15.2000,0,0,0
HBD,20101124,3.7546,3.7546,3.7546,3.7546,800,15.2000,15.2000,15.2000,15.2000,0,0,0
HBD,20101123,3.7546,3.7546,3.7546,3.7546,200,15.2000,15.2000,15.2000,15.2000,0,0,0
HBD,20101122,3.7052,3.7052,3.7052,3.7052,3000,15.0000,15.0000,15.0000,15.0000,0,0,0
HBD,20101119,3.7052,3.7052,3.7052,3.7052,100,15.0000,15.0000,15.0000,15.0000,0,0,0
HBD,20101112,3.6558,3.6558,3.6558,3.6558,700,14.8000,14.8000,14.8000,14.8000,0,0,0
HBD,20101111,3.6558,3.6558,3.6558,3.6558,400,14.8000,14.8000,14.8000,14.8000,0,0,0
HBD,20101105,3.8781,4.0016,3.8781,3.8781,2500,15.7000,16.2000,15.7000,15.7000,0,0,0
HBD,20101102,3.8781,3.8781,3.8781,3.8781,500,15.7000,15.7000,15.7000,15.7000,0,0,0
HBD,20101101,4.1992,4.2239,3.9028,3.9028,3200,17.0000,17.1000,15.8000,15.8000,0,0,400
HBD,20101029,4.1745,4.1992,4.1745,4.1992,300,16.9000,17.0000,16.9000,17.0000,0,0,0
HBD,20101020,4.1251,4.1992,4.1251,4.1992,400,16.7000,17.0000,16.7000,17.0000,0,0,0
HBD,20101019,4.1004,4.1992,4.1004,4.1992,7500,16.6000,17.0000,16.6000,17.0000,0,0,0
HBD,20101013,4.0757,4.0757,4.0757,4.0757,500,16.5000,16.5000,16.5000,16.5000,0,0,0
HBD,20101012,4.0757,4.0757,4.0757,4.0757,500,16.5000,16.5000,16.5000,16.5000,0,0,0
HBD,20101008,4.0757,4.1004,4.0757,4.1004,2600,16.5000,16.6000,16.5000,16.6000,0,0,0
HBD,20101007,4.0757,4.0757,4.0757,4.0757,1000,16.5000,16.5000,16.5000,16.5000,0,0,0
HBD,20101006,4.1004,4.1004,4.1004,4.1004,100,16.6000,16.6000,16.6000,16.6000,0,0,0
HBD,20101005,4.0263,4.1498,4.0263,4.0757,3600,16.3000,16.8000,16.3000,16.5000,0,0,0
HBD,20101004,4.0016,4.0016,4.0016,4.0016,1500,16.2000,16.2000,16.2000,16.2000,0,0,0
HBD,20100930,3.9522,3.9522,3.9522,3.9522,1000,16.0000,16.0000,16.0000,16.0000,0,0,0
HBD,20100929,4.0757,4.0757,4.0757,4.0757,15100,16.5000,16.5000,16.5000,16.5000,0,0,0
HBD,20100927,4.1251,4.1251,4.0757,4.0757,1100,16.7000,16.7000,16.5000,16.5000,0,0,0
HBD,20100922,4.1004,4.1498,4.1004,4.1498,2300,16.6000,16.8000,16.6000,16.8000,0,0,0
HBD,20100921,4.1004,4.1004,4.0757,4.0757,2500,16.6000,16.6000,16.5000,16.5000,0,1500,0
HBD,20100917,4.1251,4.1251,4.1251,4.1251,200,16.7000,16.7000,16.7000,16.7000,0,0,0
